Threshold,Total_Return
0.7999999999999999,0.6452477686486668
0.7,0.5657253337341479
0.5,0.5327022959570584
0.8999999999999999,0.4392674371787382
1.2999999999999998,0.38260214518641344
0.6,0.3726058956713372
0.9999999999999999,0.2435062757069999
1.6999999999999997,0.2386603863263943
1.1999999999999997,0.2325118309573031
1.7999999999999998,0.20878585476935463
1.0999999999999999,0.1788575499789924
1.9999999999999996,0.09845101869572437
1.8999999999999997,0.09717248014356672
1.4999999999999998,0.09482387822897742
1.4,0.07674496249825857
2.3,0.015981024483398443
2.1999999999999997,0.007286815689218962
2.0999999999999996,0.00635977369478713
2.3999999999999995,0.005065201712143086
2.4999999999999996,0.0
2.5999999999999996,0.0
2.6999999999999993,0.0
2.7999999999999994,0.0
2.8999999999999995,0.0
1.5999999999999996,-0.07302580469256714
